# BLASTN 2.2.31+
# Query: scaffold1831
# Database: /media/planz/Hs1-2/Beet_translocation/ProperDataSet/BLASTdb/P_procumbens-1.0.soap.1.fa
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
scaffold1831	C19449002	100.00	149	0	0	178627	178775	1	149	1e-69	276
# BLASTN 2.2.31+
# Query: scaffold23292 44.6
# Database: /media/planz/Hs1-2/Beet_translocation/ProperDataSet/BLASTdb/P_procumbens-1.0.soap.1.fa
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 12 hits found
scaffold23292	scaffold23292	100.00	3151	0	0	10161	13311	10161	13311	0.0	5786
scaffold23292	scaffold23292	100.00	1247	0	0	17235	18481	17235	18481	0.0	2200
scaffold23292	scaffold23292	100.00	1073	0	0	3110	4182	3110	4182	0.0	1982
scaffold23292	scaffold23292	100.00	642	0	0	13459	14100	13459	14100	0.0	1186
scaffold23292	scaffold23292	100.00	597	0	0	9209	9805	9209	9805	0.0	1099
scaffold23292	scaffold23292	100.00	580	0	0	18592	19171	18592	19171	0.0	1072
scaffold23292	scaffold23292	100.00	469	0	0	4267	4735	4267	4735	0.0	867
scaffold23292	scaffold23292	100.00	310	0	0	6089	6398	6089	6398	3e-160	573
scaffold23292	scaffold23292	100.00	247	0	0	8721	8967	8721	8967	3e-125	457
scaffold23292	scaffold23292	100.00	229	0	0	1	229	1	229	3e-115	424
scaffold23292	scaffold23292	100.00	165	0	0	6677	6841	6677	6841	1e-79	305
scaffold23292	scaffold23292	100.00	101	0	0	2608	2708	2608	2708	5e-44	187
# BLASTN 2.2.31+
# Query: scaffold40136
# Database: /media/planz/Hs1-2/Beet_translocation/ProperDataSet/BLASTdb/P_procumbens-1.0.soap.1.fa
# 0 hits found
# BLASTN 2.2.31+
# Query: scaffold4194 15.3
# Database: /media/planz/Hs1-2/Beet_translocation/ProperDataSet/BLASTdb/P_procumbens-1.0.soap.1.fa
# 0 hits found
# BLASTN 2.2.31+
# Query: scaffold60071
# Database: /media/planz/Hs1-2/Beet_translocation/ProperDataSet/BLASTdb/P_procumbens-1.0.soap.1.fa
# 0 hits found
# BLASTN 2.2.31+
# Query: scaffold7137 16.3
# Database: /media/planz/Hs1-2/Beet_translocation/ProperDataSet/BLASTdb/P_procumbens-1.0.soap.1.fa
# 0 hits found
# BLASTN 2.2.31+
# Query: scaffold7672
# Database: /media/planz/Hs1-2/Beet_translocation/ProperDataSet/BLASTdb/P_procumbens-1.0.soap.1.fa
# 0 hits found
# BLASTN 2.2.31+
# Query: scaffold922 41.3
# Database: /media/planz/Hs1-2/Beet_translocation/ProperDataSet/BLASTdb/P_procumbens-1.0.soap.1.fa
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 26 hits found
scaffold922	scaffold922	100.00	5949	0	0	21525	27473	21525	27473	0.0	10916
scaffold922	scaffold922	100.00	1275	0	0	18073	19347	18073	19347	0.0	2355
scaffold922	scaffold922	100.00	1221	0	0	15007	16227	15007	16227	0.0	2222
scaffold922	scaffold922	100.00	1040	0	0	19405	20444	19405	20444	0.0	1899
scaffold922	scaffold922	100.00	889	0	0	7179	8067	7179	8067	0.0	1583
scaffold922	scaffold922	100.00	774	0	0	12697	13470	12697	13470	0.0	1430
scaffold922	scaffold922	100.00	696	0	0	11486	12181	11486	12181	0.0	1286
scaffold922	scaffold922	100.00	588	0	0	3761	4348	3761	4348	0.0	1086
scaffold922	scaffold922	100.00	448	0	0	2281	2728	2281	2728	0.0	828
scaffold922	scaffold922	100.00	398	0	0	10626	11023	10626	11023	0.0	736
scaffold922	scaffold922	100.00	368	0	0	12238	12605	12238	12605	1e-165	592
scaffold922	scaffold922	100.00	319	0	0	5813	6131	5813	6131	5e-165	590
scaffold922	scaffold922	100.00	314	0	0	21118	21431	21118	21431	3e-162	580
scaffold922	scaffold922	100.00	273	0	0	6349	6621	6349	6621	2e-139	505
scaffold922	scaffold922	100.00	266	0	0	8968	9233	8968	9233	1e-135	492
scaffold922	scaffold922	100.00	228	0	0	4568	4795	4568	4795	2e-113	418
scaffold922	scaffold922	100.00	199	0	0	5282	5480	5282	5480	3e-97	364
scaffold922	scaffold922	100.00	185	0	0	30607	30791	30607	30791	2e-89	339
scaffold922	scaffold922	100.00	155	0	0	10286	10440	10286	10440	7e-74	287
scaffold922	scaffold922	100.00	146	0	0	11306	11451	11306	11451	7e-69	270
scaffold922	scaffold922	100.00	141	0	0	13579	13719	13579	13719	4e-66	261
scaffold922	scaffold922	100.00	130	0	0	3540	3669	3540	3669	6e-60	241
scaffold922	scaffold922	100.00	113	0	0	1	113	1	113	2e-50	209
scaffold922	scaffold922	100.00	111	0	0	8495	8605	8495	8605	2e-49	206
scaffold922	scaffold922	100.00	106	0	0	14251	14356	14251	14356	1e-46	196
scaffold922	scaffold922	100.00	100	0	0	3010	3109	3010	3109	3e-43	185
# BLAST processed 8 queries
